state,date,sex,ethnicity,annual_birth,annual_death
Pahang,2000-01-01,both,overall,29555,5507
Pahang,2001-01-01,both,overall,27613,5741
Pahang,2002-01-01,both,overall,26810,6297
Pahang,2003-01-01,both,overall,26144,6291
Pahang,2004-01-01,both,overall,25899,6275
Pahang,2005-01-01,both,overall,25692,6499
Pahang,2006-01-01,both,overall,24809,6670
Pahang,2007-01-01,both,overall,24958,6742
Pahang,2008-01-01,both,overall,25658,7100
Pahang,2009-01-01,both,overall,26057,7428
Pahang,2010-01-01,both,overall,25946,7722
Pahang,2011-01-01,both,overall,27079,7812
Pahang,2012-01-01,both,overall,27411,7791
Pahang,2013-01-01,both,overall,26968,8146
Pahang,2014-01-01,both,overall,28743,8301
Pahang,2015-01-01,both,overall,28059,8471
Pahang,2016-01-01,both,overall,27626,8878
Pahang,2017-01-01,both,overall,27555,9261
Pahang,2018-01-01,both,overall,27006,9246
Pahang,2019-01-01,both,overall,25887,9179
Pahang,2020-01-01,both,overall,25344,8686
Pahang,2021-01-01,both,overall,24507,10366
Pahang,2022-01-01,both,overall,23568,11022
Perak,2000-01-01,both,overall,48589,13194
Perak,2001-01-01,both,overall,43533,13577
Perak,2002-01-01,both,overall,42289,14345
Perak,2003-01-01,both,overall,39822,14561
Perak,2004-01-01,both,overall,39012,14401
Perak,2005-01-01,both,overall,37369,14348
Perak,2006-01-01,both,overall,36835,14429
Perak,2007-01-01,both,overall,36628,14913
Perak,2008-01-01,both,overall,37174,15395
Perak,2009-01-01,both,overall,37203,15741
Perak,2010-01-01,both,overall,36026,15440
Perak,2011-01-01,both,overall,37522,16012
Perak,2012-01-01,both,overall,37712,16395
Perak,2013-01-01,both,overall,35427,16386
Perak,2014-01-01,both,overall,36586,16925
Perak,2015-01-01,both,overall,36284,17159
Perak,2016-01-01,both,overall,35685,17820
Perak,2017-01-01,both,overall,34838,18047
Perak,2018-01-01,both,overall,33869,18600
Perak,2019-01-01,both,overall,33005,18740
Perak,2020-01-01,both,overall,31582,17946
Perak,2021-01-01,both,overall,30816,21303
Perak,2022-01-01,both,overall,29543,22341
Perlis,2000-01-01,both,overall,4651,1307
Perlis,2001-01-01,both,overall,4340,1335
Perlis,2002-01-01,both,overall,4225,1378
Perlis,2003-01-01,both,overall,4058,1416
Perlis,2004-01-01,both,overall,3964,1426
Perlis,2005-01-01,both,overall,3932,1452
Perlis,2006-01-01,both,overall,3891,1462
Perlis,2007-01-01,both,overall,3946,1491
Perlis,2008-01-01,both,overall,4175,1618
Perlis,2009-01-01,both,overall,4237,1580
Perlis,2010-01-01,both,overall,4114,1683
Perlis,2011-01-01,both,overall,4161,1637
Perlis,2012-01-01,both,overall,4143,1655
Perlis,2013-01-01,both,overall,4050,1741
Perlis,2014-01-01,both,overall,4509,1671
Perlis,2015-01-01,both,overall,4315,1767
Perlis,2016-01-01,both,overall,4392,1884
Perlis,2017-01-01,both,overall,4447,2004
